#SampleID	Dataset	FullName	Acronyme	time	Site
Porifera_1_V1V3	1	Porifera_1_V1V3	Ind_1_V1V3	2019	bourake
Porifera_2_V1V3	2	Porifera_2_V1V3	Ind_2_V1V3	2019	bourake
Porifera_3_V1V3	3	Porifera_3_V1V3	Ind_3_V1V3	2019	bourake
Porifera_1_V4	4	Porifera_1_V4	Ind_1_V4	2019	bourake
Porifera_2_V4	5	Porifera_2_V4	Ind_2_V4	2019	bourake
Porifera_3_V4	6	Porifera_3_V4	Ind_3_V4	2019	bourake
Porifera_1_Chimeric	7	Porifera_1_Chimeric	Ind_1_Chimeric	2019	bourake
Porifera_2_Chimeric	8	Porifera_2_Chimeric	Ind_2_Chimeric	2019	bourake
Porifera_3_Chimeric	9	Porifera_3_Chimeric	Ind_3_Chimeric	2019	bourake
